Area,County,CancerType,Year,Sex,AgeAdjustedRate,lci,uci,CaseCount,Population
'Illinois','Pulaski County','Lung and Bronchus','2012-2016','Male and Female','117.3','86.4','157.3','51','28906'
'Illinois','Morgan County','Lung and Bronchus','2012-2016','Male and Female','87.5','75.8','100.7','209','173733'
'Illinois','Pike County','Lung and Bronchus','2012-2016','Male and Female','72.7','58.1','90.3','88','80060'
'Illinois','Richland County','Lung and Bronchus','2012-2016','Male and Female','93.0','75.7','113.5','105','79998'
'Illinois','Knox County','Lung and Bronchus','2012-2016','Male and Female','71.0','62.5','80.3','267','258502'
'Illinois','Pope County','Lung and Bronchus','2012-2016','Male and Female','80.5','54.3','119.6','32','21927'
'Illinois','Montgomery County','Lung and Bronchus','2012-2016','Male and Female','94.8','81.7','109.7','193','146688'
'Illinois','Ogle County','Lung and Bronchus','2012-2016','Male and Female','68.6','60','78.1','238','259822'
'Illinois','Crawford County','Lung and Bronchus','2012-2016','Male and Female','73.2','59.4','89.6','100','96691'
'Illinois','Clark County','Lung and Bronchus','2012-2016','Male and Female','77.6','62.1','96.4','88','80111'
'Illinois','Macon County','Lung and Bronchus','2012-2016','Male and Female','93.4','86.4','100.8','701','542237'
'Illinois','Iroquois County','Lung and Bronchus','2012-2016','Male and Female','78.2','66.8','91.4','171','143671'
'Illinois','Logan County','Lung and Bronchus','2012-2016','Male and Female','104.2','90.2','119.9','205','148520'
